"X" "Z" "Y"
1 -4.99 0
2 -4.98 0
3 -4.97 0
4 -4.96 0
5 -4.95 0
6 -4.94 0
7 -4.93 0
8 -4.92 0
9 -4.91 0
10 -4.9 0
11 -4.89 0
12 -4.88 0
13 -4.87 0
14 -4.86 0
15 -4.85 0
16 -4.84 0
17 -4.83 0
18 -4.82 0
19 -4.81 0
20 -4.8 0
21 -4.79 0
22 -4.78 0
23 -4.77 0
24 -4.76 0
25 -4.75 0
26 -4.74 0
27 -4.73 0
28 -4.72 0
29 -4.71 0
30 -4.7 0
31 -4.69 0
32 -4.68 0
33 -4.67 0
34 -4.66 0
35 -4.65 0
36 -4.64 0
37 -4.63 0
38 -4.62 0
39 -4.61 0
40 -4.6 0
41 -4.59 0
42 -4.58 0
43 -4.57 0
44 -4.56 0
45 -4.55 0
46 -4.54 0
47 -4.53 0
48 -4.52 0
49 -4.51 0
50 -4.5 0
51 -4.49 0
52 -4.48 0
53 -4.47 0
54 -4.46 0
55 -4.45 0
56 -4.44 0
57 -4.43 0
58 -4.42 0
59 -4.41 0
60 -4.4 0
61 -4.39 0
62 -4.38 0
63 -4.37 0
64 -4.36 0
65 -4.35 0
66 -4.34 0
67 -4.33 0
68 -4.32 0
69 -4.31 0
70 -4.3 0
71 -4.29 0
72 -4.28 0
73 -4.27 0
74 -4.26 0
75 -4.25 0
76 -4.24 0
77 -4.23 0
78 -4.22 0
79 -4.21 0
80 -4.2 0
81 -4.19 0
82 -4.18 0
83 -4.17 0
84 -4.16 0
85 -4.15 0
86 -4.14 0
87 -4.13 0
88 -4.12 0
89 -4.11 0
90 -4.1 0
91 -4.09 0
92 -4.08 0
93 -4.07 0
94 -4.06 0
95 -4.05 0
96 -4.04 0
97 -4.03 0
98 -4.02 0
99 -4.01 0
100 -4 0
101 -3.99 0
102 -3.98 0
103 -3.97 0
104 -3.96 0
105 -3.95 0
106 -3.94 0
107 -3.93 0
108 -3.92 0
109 -3.91 0
110 -3.9 0
111 -3.89 0
112 -3.88 0
113 -3.87 0
114 -3.86 0
115 -3.85 0
116 -3.84 0
117 -3.83 0
118 -3.82 0
119 -3.81 0
120 -3.8 0
121 -3.79 0
122 -3.78 0
123 -3.77 0
124 -3.76 0
125 -3.75 0
126 -3.74 0
127 -3.73 0
128 -3.72 0
129 -3.71 0
130 -3.7 0
131 -3.69 0
132 -3.68 0
133 -3.67 0
134 -3.66 0
135 -3.65 0
136 -3.64 0
137 -3.63 0
138 -3.62 0
139 -3.61 0
140 -3.6 0
141 -3.59 0
142 -3.58 0
143 -3.57 0
144 -3.56 0
145 -3.55 0
146 -3.54 0
147 -3.53 0
148 -3.52 0
149 -3.51 0
150 -3.5 1
151 -3.49 0
152 -3.48 0
153 -3.47 0
154 -3.46 0
155 -3.45 0
156 -3.44 0
157 -3.43 0
158 -3.42 0
159 -3.41 0
160 -3.4 0
161 -3.39 0
162 -3.38 0
163 -3.37 0
164 -3.36 0
165 -3.35 0
166 -3.34 0
167 -3.33 0
168 -3.32 0
169 -3.31 0
170 -3.3 0
171 -3.29 0
172 -3.28 0
173 -3.27 0
174 -3.26 0
175 -3.25 0
176 -3.24 0
177 -3.23 0
178 -3.22 0
179 -3.21 0
180 -3.2 0
181 -3.19 0
182 -3.18 0
183 -3.17 0
184 -3.16 0
185 -3.15 0
186 -3.14 0
187 -3.13 0
188 -3.12 0
189 -3.11 0
190 -3.1 0
191 -3.09 0
192 -3.08 0
193 -3.07 0
194 -3.06 0
195 -3.05 0
196 -3.04 0
197 -3.03 1
198 -3.02 0
199 -3.01 0
200 -3 0
201 -2.99 0
202 -2.98 0
203 -2.97 0
204 -2.96 0
205 -2.95 0
206 -2.94 0
207 -2.93 0
208 -2.92 0
209 -2.91 0
210 -2.9 0
